,German,Applications,Coding
2024-03-01,16,0,0
2024-03-02,0,0,0
2024-03-03,0,0,0
2024-03-04,0,0,0
2024-03-05,0,0,0
2024-03-06,0,0,0
2024-03-07,0,0,0
2024-03-08,0,0,0
2024-03-09,0,0,0
2024-03-10,0,0,0
2024-03-11,0,0,0
2024-03-12,10,0,60
2024-03-13,0,0,280
2024-03-14,15,10,30
